N,sr,lr,sigma,IP,esr,kl,accuracy
1000,0.4,0.94,0.1,True,0.3999999999999998,0.11280372992542231,0.295
1000,0.4,0.94,0.1,True,0.3999999999999986,0.126515937580305,0.295
1000,0.4,0.94,0.1,True,0.39999999999999925,0.12246869159788837,0.3
1000,0.4,0.94,0.1,True,0.39999999999999913,0.5306711245327763,0.3
1000,0.4,0.94,0.1,True,0.4000000000000005,0.32394359607598944,0.285
1000,0.4,0.94,0.1,True,0.4000000000000003,0.1343889063388334,0.31
1000,0.4,0.94,0.1,True,0.4000000000000018,0.29453406209808247,0.32
1000,0.4,0.94,0.1,True,0.40000000000000113,0.18583455964536644,0.31
1000,0.4,0.94,0.2,True,0.40000000000000235,1.7280679130254701,0.32
1000,0.4,0.94,0.2,True,0.4000000000000007,1.7342377456658418,0.315
1000,0.4,0.94,0.2,True,0.3999999999999991,1.493495436890778,0.31
1000,0.4,0.94,0.2,True,0.40000000000000147,1.516768759868688,0.315
1000,0.4,0.94,0.2,True,0.40000000000000174,1.6669400488237531,0.3
1000,0.4,0.94,0.2,True,0.4000000000000003,1.7088288535725575,0.305
1000,0.4,0.94,0.2,True,0.4000000000000018,1.5718789082492857,0.31
1000,0.4,0.94,0.2,True,0.40000000000000324,1.5600413647365237,0.285
1000,0.4,0.94,0.2,True,0.4,1.6401442811626596,0.335
1000,0.4,0.94,0.2,True,0.4000000000000001,1.6462453281719516,0.29
1000,0.4,0.94,0.2,True,0.39999999999999936,1.5638869117352476,0.305
1000,0.4,0.94,0.2,True,0.40000000000000124,1.631235291343915,0.295
1000,0.4,0.94,0.2,True,0.39999999999999925,1.6495990600500354,0.3
1000,0.4,0.94,0.2,True,0.4000000000000001,1.7093510146200936,0.305
1000,0.4,0.94,0.2,True,0.4000000000000002,1.716920827472356,0.295
1000,0.4,0.94,0.2,True,0.3999999999999999,1.6367158961687278,0.33
1000,0.4,0.94,0.2,True,0.40000000000000163,1.612328295600923,0.285
1000,0.4,0.94,0.2,True,0.3999999999999998,1.7588678070497843,0.3
1000,0.4,0.94,0.2,True,0.39999999999999925,1.5755313562324615,0.33
1000,0.4,0.94,0.2,True,0.3999999999999996,1.7850888289427371,0.3
1000,0.4,0.94,0.2,True,0.3999999999999977,1.7560431210994383,0.31
1000,0.4,0.94,0.2,True,0.39999999999999913,1.8057075186626435,0.28
1000,0.4,0.94,0.2,True,0.40000000000000047,1.616516129979683,0.3
1000,0.4,0.94,0.2,True,0.3999999999999988,1.7201277916260205,0.295
1000,0.4,0.94,0.2,True,0.3999999999999988,1.7899497408197447,0.32
1000,0.4,0.94,0.3,True,0.4,1.2967260094000626,0.33
1000,0.4,0.94,0.3,True,0.40000000000000013,1.3697717731624683,0.3
1000,0.4,0.94,0.3,True,0.4000000000000003,1.1752618506809696,0.32
1000,0.4,0.94,0.3,True,0.4000000000000031,1.4210129163499992,0.305
1000,0.4,0.94,0.3,True,0.3999999999999986,1.2641744846712566,0.295
1000,0.4,0.94,0.3,True,0.39999999999999847,1.2533578625417974,0.3
1000,0.4,0.94,0.3,True,0.40000000000000147,1.2402902194470091,0.295
1000,0.4,0.94,0.3,True,0.4000000000000006,1.2867998743149254,0.31
1000,0.4,0.94,0.3,True,0.4,1.298643771574284,0.285
1000,0.4,0.94,0.3,True,0.39999999999999963,1.277661409354099,0.32
1000,0.4,0.94,0.3,True,0.39999999999999947,1.1909898286329552,0.32
1000,0.4,0.94,0.3,True,0.400000000000002,1.2229010975908534,0.3
1000,0.4,0.94,0.3,True,0.400000000000001,1.2755210500577898,0.295
1000,0.4,0.94,0.3,True,0.4,1.240925313691561,0.3
1000,0.4,0.94,0.3,True,0.4000000000000009,1.4296062330532116,0.315
1000,0.4,0.94,0.3,True,0.3999999999999976,1.2818888118250045,0.315
1000,0.4,0.94,0.3,True,0.4000000000000007,1.2265390893313575,0.295
1000,0.4,0.94,0.3,True,0.39999999999999997,1.2449499282863088,0.315
1000,0.4,0.94,0.3,True,0.39999999999999997,1.2403870254973244,0.32
1000,0.4,0.94,0.3,True,0.40000000000000085,1.3093788577572611,0.31
1000,0.4,0.94,0.3,True,0.40000000000000036,1.3443538519663711,0.305
1000,0.4,0.94,0.3,True,0.40000000000000263,1.2570327025711299,0.315
1000,0.4,0.94,0.3,True,0.39999999999999974,1.3424187374250014,0.29
1000,0.4,0.94,0.3,True,0.3999999999999994,1.3967684382149996,0.315
1000,0.4,0.94,0.3,True,0.39999999999999936,1.4002089908565933,0.295
